Model,Epoch,Train loss,Valid loss,Train accuracy,Valid accuracy,Train iou,Valid iou,Train Precision,Valid Precision,Train Recall,Valid Recall,Train AUC,Valid AUC
Model1,0,0.539113609,0.618178606,0.958028555,0.861999691,0.338516891,0.064317763,0.081915289,0.128578261,0.12715815,0.133332029,0.752873421,0.791573942
Model1,1,0.511393452,0.52482748,0.964345038,0.972861648,0.322358161,0.705968022,0.147754431,0.166642308,0.159356251,0.160596251,0.800437272,0.807794869
Model1,2,0.502719126,0.512779951,0.96434015,0.969921231,0.32117337,0.475993484,0.181524009,0.195772529,0.165160179,0.17200616,0.812813342,0.817574024
Model1,3,0.497828426,0.529453218,0.964646935,0.939055741,0.322888136,0.110712111,0.206446454,0.21567373,0.177715048,0.187559843,0.821091771,0.824345231
Model1,4,0.494284788,0.500511646,0.964841902,0.967143655,0.32322827,0.368433684,0.223071963,0.230298311,0.195960909,0.200555235,0.826906621,0.829172134
Model2,0,0.538915443,0.532837152,0.968529046,0.9668715,0.737182438,0.727155805,0.120763674,0.210106924,0.027526679,0.070973925,0.672325194,0.747567892
Model2,1,0.516694669,0.539272189,0.9641276,0.958408535,0.716463327,0.685676098,0.220558971,0.227292702,0.095128253,0.117265031,0.762551904,0.772384226
Model2,2,0.513183475,0.538821399,0.963443339,0.967643082,0.719623327,0.74577111,0.230669767,0.23540467,0.13064383,0.140910447,0.777501523,0.781726658
Model2,3,0.508792034,0.520586193,0.963386178,0.964370549,0.721685588,0.730337203,0.239941806,0.242828637,0.149188176,0.156708345,0.785573065,0.788585722
Model2,4,0.507168838,0.526979983,0.963380873,0.961078346,0.723345339,0.71627295,0.246257171,0.247830361,0.163354293,0.168733358,0.791024208,0.793248177
Model3,0,0.508168403,0.499316692,0.962672293,0.962673843,0.666052938,0.699394882,0.211431295,0.255745202,0.161237061,0.217154279,0.777252614,0.82949537
Model3,1,0.48973985,0.513054907,0.963120699,0.95861572,0.680112183,0.638123631,0.266041398,0.27300325,0.233119398,0.246504545,0.836875081,0.84208256
Model3,2,0.484345885,0.506660402,0.963525176,0.953844309,0.689241648,0.650096238,0.277972788,0.281499535,0.255539358,0.263636827,0.845116854,0.847718537
Model3,3,0.476489836,0.53240329,0.964506626,0.967020571,0.703332841,0.697356522,0.286069483,0.29112637,0.271363407,0.276120633,0.85055083,0.852723062
Model3,4,0.473540766,0.468085706,0.965145707,0.956745803,0.708640933,0.673310637,0.295222819,0.299018025,0.279286236,0.284979492,0.854376197,0.856212497
Model4,0,0.477007359,0.480915219,0.96230799,0.973307133,0.626722455,0.738372028,0.308692336,0.506983876,0.344690323,0.1967545,0.855012059,0.870807052
Model4,1,0.449170321,0.617709816,0.966457963,0.894260764,0.68193841,0.401653826,0.376222402,0.153957933,0.410508364,0.653985739,0.878632009,0.876832783
Model4,2,0.441542983,0.486572444,0.967295289,0.967508674,0.691382408,0.655539691,0.391385496,0.355829,0.429733932,0.259941071,0.887548208,0.82857281
Model4,3,0.43630448,0.448996872,0.968502939,0.962638497,0.698103428,0.65856564,0.409757167,0.354463875,0.437594384,0.477481216,0.889145732,0.90896076
Model4,4,0.431594789,0.483102798,0.96848464,0.972328186,0.697336197,0.702274919,0.412203342,0.465821654,0.453954697,0.211686775,0.895129323,0.819001198
